Trial,Bandit,Reward,Algorithm
1,3,4.921478539899561,ThompsonSampling Algorithm
2,0,-0.21550910365834497,ThompsonSampling Algorithm
3,3,4.697153721911457,ThompsonSampling Algorithm
4,3,3.296637595786187,ThompsonSampling Algorithm
5,3,4.250270679581134,ThompsonSampling Algorithm
6,3,4.691752028173136,ThompsonSampling Algorithm
7,3,5.015950239047902,ThompsonSampling Algorithm
8,3,4.154614108425943,ThompsonSampling Algorithm
9,3,3.8176549980692625,ThompsonSampling Algorithm
10,3,3.5291083456153034,ThompsonSampling Algorithm
11,3,5.204372831826337,ThompsonSampling Algorithm
12,3,3.1175006888201033,ThompsonSampling Algorithm
13,3,4.873402209713815,ThompsonSampling Algorithm
14,3,4.443192796145748,ThompsonSampling Algorithm
15,3,3.9153711324317637,ThompsonSampling Algorithm
16,3,5.64845065845099,ThompsonSampling Algorithm
17,3,3.992402926562608,ThompsonSampling Algorithm
18,3,4.891983673176963,ThompsonSampling Algorithm
19,3,4.590217353853718,ThompsonSampling Algorithm
20,3,5.020986649643176,ThompsonSampling Algorithm
21,3,4.542013885096383,ThompsonSampling Algorithm
22,3,3.709964812741651,ThompsonSampling Algorithm
23,3,4.070576393587786,ThompsonSampling Algorithm
24,3,3.1972263250676165,ThompsonSampling Algorithm
25,3,4.943689491574106,ThompsonSampling Algorithm
26,3,4.021967064950474,ThompsonSampling Algorithm
27,3,4.282870381522985,ThompsonSampling Algorithm
28,3,5.12911943592728,ThompsonSampling Algorithm
29,3,5.552440227779282,ThompsonSampling Algorithm
30,3,5.263140703078877,ThompsonSampling Algorithm
31,3,3.266663415314963,ThompsonSampling Algorithm
32,3,3.5930671901864786,ThompsonSampling Algorithm
33,3,2.675486294296468,ThompsonSampling Algorithm
34,3,3.3092579687755674,ThompsonSampling Algorithm
35,3,3.1848198424114513,ThompsonSampling Algorithm
36,3,3.458797050227954,ThompsonSampling Algorithm
37,3,4.980875653744674,ThompsonSampling Algorithm
38,3,5.3387662351072835,ThompsonSampling Algorithm
39,3,4.131096565354067,ThompsonSampling Algorithm
40,3,3.3174973775017778,ThompsonSampling Algorithm
41,3,3.5361434269705305,ThompsonSampling Algorithm
42,3,4.640953674565407,ThompsonSampling Algorithm
43,3,4.39546033636153,ThompsonSampling Algorithm
44,3,5.2188769390755265,ThompsonSampling Algorithm
45,3,2.7494042888859775,ThompsonSampling Algorithm
46,3,4.654861888305229,ThompsonSampling Algorithm
47,3,4.549603680238782,ThompsonSampling Algorithm
48,3,2.6612667443176865,ThompsonSampling Algorithm
49,3,4.506214732115437,ThompsonSampling Algorithm
50,3,5.014757070901688,ThompsonSampling Algorithm
51,3,4.284191971311294,ThompsonSampling Algorithm
52,3,5.6813114602584625,ThompsonSampling Algorithm
53,3,5.003653674360956,ThompsonSampling Algorithm
54,3,3.880088827291249,ThompsonSampling Algorithm
55,3,5.16643287846928,ThompsonSampling Algorithm
56,3,5.293060254629614,ThompsonSampling Algorithm
57,3,3.8037358537212187,ThompsonSampling Algorithm
58,3,2.61383960934535,ThompsonSampling Algorithm
59,3,3.213632958359682,ThompsonSampling Algorithm
60,3,4.4656311822096235,ThompsonSampling Algorithm
61,3,3.91882380764335,ThompsonSampling Algorithm
62,3,4.421825753177399,ThompsonSampling Algorithm
63,3,6.879090760998696,ThompsonSampling Algorithm
64,3,2.4972089445307537,ThompsonSampling Algorithm
65,3,2.386765779240239,ThompsonSampling Algorithm
66,3,3.5885318511070303,ThompsonSampling Algorithm
67,3,2.541180559430047,ThompsonSampling Algorithm
68,3,5.139949136142512,ThompsonSampling Algorithm
69,3,4.9539281695922535,ThompsonSampling Algorithm
70,3,4.522416991342951,ThompsonSampling Algorithm
71,3,2.8950740940528306,ThompsonSampling Algorithm
72,3,3.5175845173968314,ThompsonSampling Algorithm
73,3,4.09434016971462,ThompsonSampling Algorithm
74,3,4.161420775868561,ThompsonSampling Algorithm
75,3,4.911040993041538,ThompsonSampling Algorithm
76,3,4.4825989200216,ThompsonSampling Algorithm
77,3,4.090888142465975,ThompsonSampling Algorithm
78,3,4.886763037406438,ThompsonSampling Algorithm
79,3,5.2959297915971675,ThompsonSampling Algorithm
80,3,3.246328191355716,ThompsonSampling Algorithm
81,3,2.7091415610760787,ThompsonSampling Algorithm
82,3,4.49684313300089,ThompsonSampling Algorithm
83,3,3.7333481651627625,ThompsonSampling Algorithm
84,3,3.655442086203249,ThompsonSampling Algorithm
85,3,5.2769844774935155,ThompsonSampling Algorithm
86,3,3.2132223806053526,ThompsonSampling Algorithm
87,3,3.715065249251568,ThompsonSampling Algorithm
88,3,4.278409395136834,ThompsonSampling Algorithm
89,3,5.420620105284456,ThompsonSampling Algorithm
90,3,4.70782065024593,ThompsonSampling Algorithm
91,3,2.3341577571880157,ThompsonSampling Algorithm
92,3,4.6299584736525885,ThompsonSampling Algorithm
93,3,2.9864772931443753,ThompsonSampling Algorithm
94,3,1.859439088115134,ThompsonSampling Algorithm
95,3,4.023916924189244,ThompsonSampling Algorithm
96,3,2.760222855511575,ThompsonSampling Algorithm
97,3,3.3501262334899766,ThompsonSampling Algorithm
98,3,4.1205704287351255,ThompsonSampling Algorithm
99,3,5.5192541467102965,ThompsonSampling Algorithm
100,3,2.9955632465152613,ThompsonSampling Algorithm
101,3,4.4843072786711975,ThompsonSampling Algorithm
102,3,2.533602088663426,ThompsonSampling Algorithm
103,3,5.596645499979157,ThompsonSampling Algorithm
104,3,2.996612767055651,ThompsonSampling Algorithm
105,3,5.333153676502287,ThompsonSampling Algorithm
106,3,3.734283629811795,ThompsonSampling Algorithm
107,3,3.6918984397652084,ThompsonSampling Algorithm
108,3,4.45666469263134,ThompsonSampling Algorithm
109,3,3.0077436854322435,ThompsonSampling Algorithm
110,3,7.912952810674385,ThompsonSampling Algorithm
111,3,2.6662907402471685,ThompsonSampling Algorithm
112,3,4.712812967326114,ThompsonSampling Algorithm
113,3,3.554390625733536,ThompsonSampling Algorithm
114,3,4.4751003410822765,ThompsonSampling Algorithm
115,3,3.722216291511276,ThompsonSampling Algorithm
116,3,4.801217203102174,ThompsonSampling Algorithm
117,3,5.724682686820828,ThompsonSampling Algorithm
118,3,5.456662710040927,ThompsonSampling Algorithm
119,3,5.7697282829790835,ThompsonSampling Algorithm
120,3,4.636876161152052,ThompsonSampling Algorithm
121,3,2.6438168563953717,ThompsonSampling Algorithm
122,3,4.571879913226181,ThompsonSampling Algorithm
123,3,3.1142774037358025,ThompsonSampling Algorithm
124,3,3.9014155387141525,ThompsonSampling Algorithm
125,3,4.8395422925012825,ThompsonSampling Algorithm
